"SCEN_LABEL_H","SCEN_LABEL_L","IDYEARS","REGIONGROUP","LABEL_REGIONGROUP","DELTA_COST_HEALTHCARE_MUSD2017_PPP_MORB","DELTA_COST_HEALTHCARE_MUSD2017_PPP_MORT","DELTA_COST_PRODUCTIVITY_MUSD2017_PPP_MORB","DELTA_COST_PRODUCTIVITY_MUSD2017_PPP_MORT","DELTA_COST_DISUTILITY_MUSD2017_PPP_MORB","DELTA_COST_DISUTILITY_MUSD2017_PPP_MORT"
"Baseline","Integrated Action",2030,"CAS","Central Asia",116.2,0,162.2,488,369.2,3545.5
"Baseline","Integrated Action",2030,"CHI","Centrally Planned Asia",22608.5,0,31001.8,354.9,63148.4,335476.4
"Baseline","Integrated Action",2030,"EAS","South East Asia",4161,0,7794.1,10229.2,15882.1,126940.3
"Baseline","Integrated Action",2030,"EUR","EU, EFTA, UK",15932.4,0,12286.3,4415.2,23047.9,100814.9
"Baseline","Integrated Action",2030,"LAC","Latin America & Caribbean",5990.2,0,6697.7,8718.7,10585.4,96236.1
"Baseline","Integrated Action",2030,"MEA","Middle East",1918.6,0,2509.9,727.1,5917.2,20076.9
"Baseline","Integrated Action",2030,"NAF","North Africa",1286.6,0,1965.7,1264,4219.1,20564.5
"Baseline","Integrated Action",2030,"NAM","North America",21507.5,0,11894.5,3998.8,18843.3,65816
"Baseline","Integrated Action",2030,"OCE","Oceania",10028.9,0,8423.1,1687.7,16508.4,67761.3
"Baseline","Integrated Action",2030,"RUS","Russian Federation",1703.1,0,1628.9,1474.6,4055.5,22520.5
"Baseline","Integrated Action",2030,"SAF","Southern Africa",738,0,924.6,9123.4,1493.7,45371.3
"Baseline","Integrated Action",2030,"SAS","South Asia",5994.5,0,12098.3,133323.5,24117.7,505060.9
"Baseline","Integrated Action",2030,"SSA","Sub-Saharan Africa",363.3,0,1313.6,82746.7,1369.4,167307.8
"Baseline","Integrated Action",2030,"WAS","Western Asia",4304.6,0,7258.7,788.7,14535.4,49194.1
"Baseline","Integrated Action",2030,"WBK","West Balkan",720.7,0,524.8,264.7,1111,4898.7
"Baseline","Integrated Action",2030,NA,"Global",97374.1,0,106484.2,259605.2,205203.7,1631585.2
"Baseline","Integrated Action",2035,"CAS","Central Asia",567.1,0,847.4,1277.5,1838.5,9059.4
"Baseline","Integrated Action",2035,"CHI","Centrally Planned Asia",86765.5,0,119772.1,588,236905.2,1094666.9
"Baseline","Integrated Action",2035,"EAS","South East Asia",14088.3,0,26597.3,18347.2,53023.3,300548.2
"Baseline","Integrated Action",2035,"EUR","EU, EFTA, UK",25715.2,0,19478.5,6044.4,36644.8,150372.5
"Baseline","Integrated Action",2035,"LAC","Latin America & Caribbean",17176.2,0,18669.5,12491.2,29920.9,161644.4
"Baseline","Integrated Action",2035,"MEA","Middle East",6774.4,0,8779.3,2108.4,20770.1,67958.1
"Baseline","Integrated Action",2035,"NAF","North Africa",4456.2,0,6819.6,3381.4,14594.6,58920.5
"Baseline","Integrated Action",2035,"NAM","North America",53661.8,0,29517.8,9008.9,46433.6,155893.4
"Baseline","Integrated Action",2035,"OCE","Oceania",23737.2,0,20497.3,3310.1,39589.5,154379.8
"Baseline","Integrated Action",2035,"RUS","Russian Federation",4594.9,0,4393.8,3319.3,10830.3,54554.4
"Baseline","Integrated Action",2035,"SAF","Southern Africa",2055.9,0,2680.7,12530.6,4238.1,67076.6
"Baseline","Integrated Action",2035,"SAS","South Asia",23616.4,0,47428.8,242428.4,94032,1013674.7
"Baseline","Integrated Action",2035,"SSA","Sub-Saharan Africa",1720,0,6072,106167.2,6433.4,227544.5
"Baseline","Integrated Action",2035,"WAS","Western Asia",5662,0,8679.7,1890.7,16519.2,59855.3
"Baseline","Integrated Action",2035,"WBK","West Balkan",1090.4,0,821.4,317.3,1678.5,6707.5
"Baseline","Integrated Action",2035,NA,"Global",271681.5,0,321055.2,423210.6,613452,3582856.2
"Baseline","Integrated Action",2040,"CAS","Central Asia",688.8,0,993.9,1335.1,2120.1,9792.3
"Baseline","Integrated Action",2040,"CHI","Centrally Planned Asia",125303.7,0,174140.4,597.8,337500.6,1410451.9
"Baseline","Integrated Action",2040,"EAS","South East Asia",20566.5,0,38007.5,19033.2,75817.6,382546
"Baseline","Integrated Action",2040,"EUR","EU, EFTA, UK",29517,0,22406.4,5534.5,41797.5,158744.2
"Baseline","Integrated Action",2040,"LAC","Latin America & Caribbean",23383.4,0,24470.6,12615.1,39725.9,188659.3
"Baseline","Integrated Action",2040,"MEA","Middle East",9583.4,0,12387.8,2469.2,29212.8,94356.5
"Baseline","Integrated Action",2040,"NAF","North Africa",6486.8,0,9870.4,4366.8,21185.2,83612.7
"Baseline","Integrated Action",2040,"NAM","North America",61812.3,0,34000.2,9093.5,52953.9,168578.2
"Baseline","Integrated Action",2040,"OCE","Oceania",28908.5,0,25116.8,3135.9,47643.5,175257.9
"Baseline","Integrated Action",2040,"RUS","Russian Federation",5134.3,0,4899.1,3123.4,12012.8,56045
"Baseline","Integrated Action",2040,"SAF","Southern Africa",3363.4,0,4068.5,15778.6,6836.7,91481.7
