"",Country,1990,1995,2000,2005,2010,2014
84 Mozambique,10425,12809,14617,16216,18475,20599
85 Myanmar,3120,3371,3623,3843,4049,4226
86 Namibia,141,157,175,190,217,240
87 Nepal,2873,3298,3646,3941,4194,4467
88 Netherlands,2914,3179,3542,3889,4230,4413
89 New Zealand,2038,2076,2131,2146,2599,2495
90 Nicaragua,209,234,253,270,288,307
91 Niger,4024,4719,5603,6733,8174,9482
92 Nigeria,26856,30327,34102,38984,44866,49966
93 Norway,1868,1886,1934,1981,2124,2263
94 Pakistan,2637,2705,2784,2873,3027,3172
95 Panama,97,104,116,125,146,183
96 Papua New,4247,4823,5473,6165,6835,7452
Guinea,,,,,,
97 Paraguay,170,176,188,192,201,205
98 Peru,1696,1716,1756,1780,1849,2031
99 Philippines,1665,1932,2221,2525,2830,3092
100 Poland,2471,2552,2718,2857,3097,3306
101 Portugal,804,900,1052,1195,1301,1309
102 Qatar,500,496,498,525,671,812
103 Republic of,2595,3444,4358,5280,6249,6938
Korea,,,,,,
104 Republic of,129,134,132,132,133,125
Moldova,,,,,,
105 Romania,1415,1420,1451,1468,1562,1618
106 Russian,26878,29296,28635,28060,28226,28491
Federation,,,,,,
107 Rwanda,799,635,968,1134,1355,1528
108 Saudi Arabia,6746,7333,7307,7402,7677,8141
109 Senegal,1986,2254,2538,2899,3341,3722
110 Serbia,880,882,878,889,922,920
111 Sierra Leone,4189,3856,3788,4821,5517,5961
112 Singapore,258,349,481,574,746,898
113 Slovakia,408,428,459,483,521,548
114 Slovenia,200,209,230,257,289,297
115 South Africa,4121,4449,4788,5074,5609,6058
116 Spain,4460,5045,5729,6846,7958,8272
117 Sri Lanka,406,447,489,511,536,626
118 Sudan (former),6699,8211,9335,10679,11151,11880
119 Swaziland,27,33,38,41,44,47
120 Sweden,1970,2105,2260,2466,2726,2893
121,Switzerland,2068,2542,2850,3009,3295,3502
122,Syrian Arab Republic,460,518,581,648,749,665
123,Tajikistan,160,182,197,218,244,268
124,Thailand,1801,2116,2350,2555,2759,2963
125,Togo,289,323,377,431,502,572
126,Trinidad and Tobago,173,169,167,166,158,145
127,Tunisia,251,287,323,361,415,458
128,Turkey,2101,2381,2720,3034,3453,3928
129,Uganda,8879,10463,12130,14883,17941,20789
130,Ukraine,18805,18568,17495,16637,16481,16308
131,United Arab Emirates,2599,2925,3330,3868,4736,5224
132,United Kingdom,8276,8973,9996,11079,12166,12962
133,United Republic of Tanzania,8561,9934,11219,13092,15526,17857
134,United States of America,54549,59962,67699,76021,83540,88166
135,Uruguay,262,277,294,300,315,333
136,Venezuela (Bolivarian Republic of),5599,5602,5584,5567,5654,5749
137,Viet Nam,1000,1102,1212,1328,1488,1626
138,Yemen,1864,2288,2678,3118,3663,4120
139,Zambia,6020,6770,7673,8960,10895,12415
140,Zimbabwe,10731,11113,10964,10660,11562,14264
