"",Country,1990,1995,2000,2005,2010,2014
1,Afghanistan,9,9,9,9,9,9
2,Albania,7,7,6,6,6,6
3,Algeria,16,15,14,13,11,12
4,Argentina,807,792,777,779,790,774
5,Armenia,3,3,2,2,2,2
6,Australia,1299,1296,1284,1263,1177,1099
7,Austria,54,56,58,59,58,56
8,Bahrain,1,1,1,1,1,1
9,Bangladesh,57,54,53,51,50,49
10,Barbados,1,1,1,0,0,0
11,Belgium,4,5,6,6,7,6
12,Belize,14,14,13,13,13,13
13,Benin,38,36,33,32,30,30
14,Bolivia (Plurinational State of),725,712,698,684,668,653
15,Botswana,65,62,60,57,55,53
16,Brazil,6988,6848,6691,6568,6421,6416
17,Bulgaria,22,24,25,28,31,10
18,Burundi,5,5,4,4,4,4
19,Cambodia,248,233,217,201,189,180
20,Cameroon,234,223,213,203,193,48
21,Canada,2884,2885,2895,2902,2908,1958
22,Central African Republic,211,209,208,207,205,205
23,Chile,240,231,226,230,224,225
24,China,5369,5407,5283,5085,5081,5120
25,Colombia,771,757,752,733,724,178
26,Congo,259,258,258,257,257,257
27,Costa Rica,52,48,45,46,47,62
28,Côte d’Ivoire,58,70,81,81,81,80
29,Croatia,20,21,22,24,25,23
30,Cuba,16,18,21,24,25,23
31,Cyprus,1,1,1,1,1,1
32,Czech Republic,0,0,0,0,0,0
33,Democratic Republic of the Congo,1320,1307,1294,1281,1268,1258
34,Denmark,32,28,25,24,25,23
35,Dominican Republic,35,36,35,34,34,33
36,Ecuador,183,175,166,158,150,159
37,Egypt,11,13,13,13,14,14
38,El Salvador,9,9,9,9,9,9
39,Estonia,20,15,10,22,21,21
40,Fiji,8,8,8,8,8,8
41,Finland,166,168,171,165,161,155
42,France,272,273,275,278,277,274
43,Gabon,1072,1072,1071,1071,1071,1075
44,Gambia,5,5,5,4,4,4
45,Germany,148,150,154,157,156,160
46,Ghana,74,70,67,64,60,77
47,Greece,169,168,159,157,155,151
48,Guatemala,107,100,94,87,80,85
49,Guyana,201,201,201,200,200,232
50,Haiti,8,7,7,6,5,5
51,Honduras,107,97,85,78,71,65
52,Hungary,26,25,24,24,23,23
53,Iceland,106,104,102,100,99,98
54,India,1256,1248,1241,1242,1243,1216
55,Indonesia,1902,1795,1730,1695,1628,1557
56,Iran (Islamic Republic of),566,569,565,535,540,446
57,Iraq,8,8,8,8,8,8
58,Ireland,41,34,32,31,31,29
59,Israel,5,5,5,4,4,4
60,Italy,329,323,338,341,351,327
61,Jamaica,28,29,28,27,26,26
62,Japan,530,518,508,491,489,450
63,Jordan,2,3,3,2,2,2
64,Kazakhstan,12,12,12,12,12,12
65,Kenya,46,46,44,44,43,47
66,Kuwait,1,0,0,0,0,0
67,Kyrgyzstan,5,6,6,6,8,8
68,Lao People’s Democratic Republic,149,146,143,141,139,151
69,Latvia,21,22,23,24,27,25
70,Lesotho,0,0,0,0,0,0
71,Liberia,37,36,35,34,33,32
72,Lithuania,17,17,17,18,18,17
73,Luxembourg,1,1,1,1,1,1
74,Malawi,25,24,23,23,22,22
75,Malaysia,322,312,299,284,274,289
76,Maldives,3,3,3,3,2,2
77,Mali,75,75,74,72,69,46
78,Malta,0,0,0,0,0,0
79,Mauritania,15,13,12,11,10,8
80,Mauritius,2,2,2,2,2,2
81,Mexico,854,843,830,819,812,839
82,Mongolia,175,167,173,158,155,160
83,Morocco,84,81,79,77,75,74
84,Mozambique,242,237,232,228,224,221
85,Myanmar,231,216,200,186,174,161
86,Namibia,54,56,58,60,63,61
87,Nepal,222,202,182,170,170,170
88,Netherlands,35,33,33,32,32,32
89,New Zealand,1464,1452,1452,1383,1754,1579
90,Nicaragua,42,41,39,37,34,36
91,Niger,12,10,9,9,8,8
92,Nigeria,241,248,246,240,224,224
93,Norway,100,102,99,102,106,108
94,Pakistan,1313,1173,1034,891,755,651
95,Panama,46,44,42,41,40,47
96,Papua New Guinea,311,303,296,290,282,388
97,Paraguay,115,110,112,108,106,100
98,Peru,1240,1218,1205,1186,1165,1234
99,Philippines,131,130,131,132,134,128
100,Poland,49,49,48,43,40,39
101,Portugal,62,63,65,63,62,58
102,Qatar,1,1,1,1,1,1
103,Republic of Korea,397,399,410,423,428,384
104,Republic of Moldova,6,6,7,7,7,1
