"",Country,1990,1995,2000,2005,2010,2014
1,Afghanistan,12,12,12,12,12,12
2,Albania,20,19,19,19,19,19
3,Algeria,619,577,530,475,413,366
4,Argentina,867,848,825,819,820,799
5,Armenia,3,3,2,2,5,5
6,Australia,3341,3302,3247,3175,3034,2907
7,Austria,58,59,61,61,60,57
8,Bahrain,8,6,5,4,3,2
9,Bangladesh,62,58,56,54,54,51
10,Barbados,1,1,1,1,1,0
11,Belgium,4,5,6,6,7,6
12,Belize,14,14,13,13,13,13
13,Benin,38,36,33,32,30,30
14,Bolivia (Plurinational State of),737,724,710,694,676,659
15,Botswana,67,64,61,59,56,54
16,Brazil,7543,7382,7198,7037,6840,6786
17,Bulgaria,82,80,78,78,79,56
18,Burundi,5,5,4,4,4,4
19,Cambodia,248,233,217,201,189,180
20,Cameroon,246,233,220,208,200,53
21,Canada,5516,5436,5348,5247,5143,4103
22,Central African Republic,211,209,208,207,205,205
23,Chile,351,338,327,323,310,305
24,China,9552,9417,9094,8640,8247,7882
25,Colombia,997,970,946,909,878,308
26,Congo,301,297,291,285,282,277
27,Costa Rica,52,48,45,46,47,62
28,Côte d’Ivoire,62,73,84,84,84,83
29,Croatia,23,25,25,26,26,25
30,Cuba,31,33,35,36,35,33
31,Cyprus,1,1,1,1,1,1
32,Czech Republic,81,77,71,66,61,57
33,Democratic Republic of the Congo,1320,1307,1294,1281,1268,1258
34,Denmark,77,69,60,49,41,34
35,Dominican Republic,37,37,36,35,35,34
36,Ecuador,335,319,301,283,264,263
37,Egypt,219,199,176,156,135,117
38,El Salvador,9,9,9,9,9,9
39,Estonia,20,15,10,22,21,21
40,Fiji,8,8,8,8,8,8
41,Finland,166,169,171,166,161,155
42,France,276,276,277,279,278,275
43,Gabon,1123,1117,1109,1103,1098,1098
44,Gambia,5,5,5,4,4,4
45,Germany,1633,1574,1528,1485,1442,1413
46,Ghana,78,74,71,66,62,79
47,Greece,249,243,228,219,212,204
48,Guatemala,109,103,95,89,81,86
49,Guyana,203,203,202,202,202,233
50,Haiti,8,7,7,6,5,5
51,Honduras,107,97,85,78,71,65
52,Hungary,69,66,63,61,58,57
53,Iceland,106,104,102,100,99,98
54,India,3605,3552,3489,3426,3344,3242
55,Indonesia,2974,2811,2684,2587,2446,2302
56,Iran (Islamic Republic of),4768,4682,4577,4437,4314,4116
