"",Country,1990,1995,2000,2005,2010,2014
1,Afghanistan,5.7,4.5,3.5,6.6,10.4,13.6
2,Albania,5.3,4.7,6.1,8.1,10.4,11.2
3,Algeria,66.8,67.6,80.1,103.2,117.0,132.8
4,Argentina,133.5,177.8,201.9,222.9,294.4,332.5
5,Armenia,4.0,2.1,2.7,4.9,5.9,7.1
6,Australia,453.9,532.8,642.9,762.1,870.4,975.0
7,Austria,223.1,249.0,288.9,314.6,335.5,349.9
8,Bahrain,7.8,9.9,12.4,16.0,20.9,24.4
9,Bangladesh,27.9,34.3,44.2,57.6,77.3,98.6
10,Barbados,3.3,3.2,3.7,3.9,4.1,4.1
11,Belgium,283.7,307.0,354.1,387.4,415.0,428.9
12,Belize,0.5,0.6,0.9,1.1,1.3,1.4
13,Benin,2.4,3.1,4.0,4.8,5.8,7.1
14,Bolivia (Plurinational State of),5.7,6.9,8.2,9.5,12.0,14.9
15,Botswana,5.2,6.5,8.3,9.9,12.4,15.8
16,Brazil,606.1,704.4,778.1,892.1,1108.5,1206.1
17,Bulgaria,28.0,24.6,22.5,29.8,34.7,36.3
18,Burundi,1.2,1.1,1.0,1.1,2.1,3.0
19,Cambodia,2.1,2.9,4.0,6.3,8.7,11.5
20,Cameroon,11.7,11.0,13.8,16.6,19.1,23.3
21,Canada,774.6,842.8,1026.9,1164.2,1240.1,1359.8
22,Central African Republic,1.2,1.3,1.4,1.4,1.7,1.1
23,Chile,53.1,80.5,98.7,123.1,147.9,175.3
24,China,533.7,953.5,1438.7,2291.4,3903.8,5320.2
25,Colombia,94.5,117.2,122.7,146.6,183.0,222.6
26,Congo,4.3,4.4,5.0,6.1,7.9,9.3
27,Costa Rica,9.8,12.8,16.3,20.0,25.0,29.4
28,Côte d’Ivoire,13.4,14.5,17.1,17.1,19.6,24.6
29,Croatia,42.5,30.8,36.5,45.4,46.5,44.7
30,Cuba,38.5,26.7,33.4,42.6,55.4,61.1
31,Cyprus,10.1,13.0,15.8,18.8,21.3,19.1
32,Czech Republic,106.8,102.7,112.2,136.0,153.3,157.2
33,Democratic Republic of the Congo,17.7,12.1,9.9,12.0,15.7,21.3
34,Denmark,190.0,213.3,247.4,264.6,265.1,270.7
35,Dominican Republic,16.7,21.5,30.0,35.7,48.3,57.3
36,Ecuador,25.9,30.6,32.8,41.5,49.0,60.6
37,Egypt,48.6,61.0,78.7,94.5,127.5,138.5
38,El Salvador,9.7,13.1,15.2,17.1,18.3,19.8
39,Estonia,10.6,7.4,9.9,14.0,13.8,16.3
40,Fiji,2.2,2.5,2.8,3.1,3.2,3.7
41,Finland,143.6,140.4,179.9,204.4,212.9,212.0
42,France,1650.0,1758.9,2030.0,2203.6,2289.8,2361.3
43,Gabon,7.9,9.2,9.1,9.6,10.1,12.7
44,Gambia,0.4,0.4,0.5,0.6,0.8,0.8
45,Germany,2286.9,2529.4,2781.3,2861.3,3042.4,3226.7
46,Ghana,8.7,10.7,13.3,17.2,23.2,32.2
47,Greece,160.9,171.2,205.3,247.8,243.7,200.0
48,Guatemala,15.7,19.3,23.4,27.2,32.6,37.7
49,Guyana,0.8,1.1,1.3,1.3,1.6,1.9
50,Haiti,4.3,3.8,4.3,4.2,4.3,5.0
51,Honduras,5.6,6.7,7.8,9.8,11.6,13.3
52,Hungary,88.6,78.6,91.2,112.5,111.4,117.7
53,Iceland,10.5,10.7,13.6,16.7,17.8,19.5
54,India,344.2,442.4,586.3,821.0,1223.9,1573.0
55,Indonesia,159.8,233.0,241.6,304.4,402.4,502.2
56,Iran (Islamic Republic of),122.6,141.6,168.2,219.8,279.1,276.7
57,Iraq,24.5,12.1,35.4,36.3,48.2,60.7
58,Ireland,81.0,101.2,163.5,211.4,219.8,241.0
59,Israel,71.2,98.7,128.4,142.8,176.6,202.1
60,Italy,1501.7,1602.2,1768.8,1853.5,1825.0,1745.0
61,Jamaica,9.0,10.4,10.4,11.2,11.0,11.2
62,Japan,3851.3,4132.2,4308.1,4571.9,4651.1,4780.9
63,Jordan,5.8,7.9,9.2,12.6,17.0,19.0
64,Kazakhstan,50.2,30.8,34.9,57.1,77.3,96.2
65,Kenya,14.9,16.1,17.9,21.5,27.4,33.9
66,Kuwait,30.6,48.6,54.7,80.8,85.6,99.6
67,Kyrgyzstan,3.1,1.6,2.0,2.5,3.1,3.7
68,Lao People’s Democratic Republic,1.1,1.5,2.0,2.7,4.0,5.4
69,Latvia,17.9,8.9,11.4,16.9,16.5,19.2
70,Lesotho,0.8,1.0,1.2,1.4,1.8,2.1
71,Liberia,0.4,0.1,0.5,0.6,1.1,1.5
72,Lithuania,24.9,14.4,18.1,26.1,27.7,32.6
73,Luxembourg,19.6,23.7,32.0,37.0,41.8,46.1
74,Malawi,2.5,2.6,3.1,3.7,5.2,5.9
75,Malaysia,57.3,90.1,113.9,143.5,178.7,220.5
76,Maldives,0.4,0.6,0.9,1.1,1.7,2.3
77,Mali,2.7,3.4,4.0,5.5,7.0,7.8
78,Malta,3.4,4.5,5.8,6.4,7.1,7.9
79,Mauritania,1.3,1.5,1.7,2.2,2.8,3.5
80,Mauritius,3.3,4.2,5.5,6.5,8.2,9.4
81,Mexico,560.2,604.4,788.2,864.8,952.0,1067.0
82,Mongolia,2.1,1.9,2.1,2.9,4.0,6.3
83,Morocco,38.8,40.7,49.1,62.5,79.4,92.3
84,Mozambique,2.5,2.9,5.0,7.7,11.1,14.6
85,Myanmar,3.3,4.4,6.5,11.9,20.3,27.1
86,Namibia,3.9,5.0,5.9,7.3,9.0,10.9
87,Nepal,4.3,5.5,7.0,8.3,10.3,12.2
88,Netherlands,458.5,513.5,634.9,678.5,722.8,730.8
89,New Zealand,69.8,81.7,94.1,114.7,120.8,133.6
90,Nicaragua,3.9,4.2,5.4,6.3,7.2,8.7
91,Niger,2.1,2.3,2.7,3.4,4.3,5.5
92,Nigeria,87.8,94.2,109.8,180.5,249.7,306.0
93,Norway,193.0,231.8,276.9,308.7,323.3,346.2
94,Pakistan,62.7,78.6,92.3,117.7,139.2,163.0
95,Panama,7.6,10.0,12.5,15.5,22.0,30.3
96,Papua New Guinea,2.8,4.2,4.4,4.9,6.5,8.8
97,Paraguay,5.7,6.8,6.7,8.7,11.1,13.7
98,Peru,42.1,54.3,61.7,76.1,106.2,129.7
99,Philippines,62.1,69.1,82.4,103.1,131.1,165.1
100,Poland,181.6,202.2,261.3,304.4,383.3,427.7
101,Portugal,142.2,154.7,189.0,197.3,203.4,191.2
102,Qatar,15.8,17.7,30.1,44.5,101.9,137.9
103,Republic of Korea,364.3,545.7,712.8,898.1,1098.7,1238.7
104,Republic of Moldova,6.1,2.4,2.1,3.0,3.5,4.2
105,Romania,85.0,76.3,75.4,99.7,115.1,124.6
106,Russian Federation,844.2,524.1,567.4,764.0,909.3,999.6
107,Rwanda,1.6,1.1,1.7,2.6,3.8,5.1
108,Saudi Arabia,209.1,248.6,269.8,328.5,374.9,462.0
109,Senegal,5.1,5.5,6.9,8.7,10.4,11.9
110,Serbia,38.1,18.2,19.4,26.3,29.9,30.3
111,Sierra Leone,2.0,1.5,0.9,1.7,2.1,3.3
112,Singapore,50.4,76.3,100.4,127.4,176.5,208.3
113,Slovakia,35.2,32.2,38.3,48.8,61.6,66.9
114,Slovenia,25.5,24.7,30.5,36.3,39.6,39.5
115,South Africa,178.3,186.2,213.6,257.8,300.3,328.7
116,Spain,744.0,801.8,979.5,1157.2,1219.9,1172.1
117,Sri Lanka,12.0,15.7,20.0,24.4,33.3,44.1
118,Sudan (former),14.2,17.9,25.3,35.2,35.9,37.3
119,Swaziland,2.0,2.4,2.8,3.2,3.6,4.1
120,Sweden,276.7,286.7,341.7,389.0,420.9,446.4
121,Switzerland,335.8,338.0,378.4,407.5,454.9,485.6
122,Syrian Arab Republic,12.6,18.6,22.2,28.4,36.1,19.8
123,Tajikistan,3.8,1.5,1.5,2.3,3.2,4.0
124,Thailand,93.0,139.8,145.0,189.3,227.4,255.2
125,Togo,1.8,1.8,2.0,2.1,2.5,3.0
126,Trinidad and Tobago,7.0,7.5,10.8,16.0,18.7,19.7
127,Tunisia,16.4,19.9,26.0,32.3,40.2,42.9
128,Turkey,269.7,315.9,386.6,483.0,565.1,673.1
129,Uganda,3.9,5.6,7.6,,11.0,16.3,19.6
